"Employee_ID","Name","Department","Age","Salary","Join_Date","Performance_Score","Remote_Work"
E1038,John,Marketing,"25",75000.0,"2020/05/20",2.0,N
E1039,John,Marketing,"40",45000.0,,1.0,N
E1040,Chris,,,60000.0,"2020/05/20",5.0,No
E1041,Sara,Finance,"30",,"2020/05/20",5.0,
E1042,John,Finance,"35",45000.0,"2021-01-15",,No
E1043,David,Marketing,Unknown,60000.0,"2020/05/20",2.0,
E1044,Lina,,"35",45000.0,"2021-01-15",1.0,
E1045,Chris,Marketing,"25",75000.0,,5.0,Y
E1046,Lina,Finance,,75000.0,"2021-01-15",5.0,Yes
E1047,Anna,Marketing,Unknown,,"2021-01-15",,N
E1048,Mike,,,60000.0,"2021-01-15",5.0,
E1049,Sara,HR,"25",,"15-03-2019",4.0,No
E1050,Mike,IT,Unknown,,"2021-01-15",2.0,Y
E1051,Sara,Sales,Unknown,30000.0,"2021-01-15",,
E1052,Sara,Finance,,30000.0,"2021-01-15",4.0,N
E1053,Lina,HR,Unknown,75000.0,"15-03-2019",2.0,Y
E1054,John,IT,"40",75000.0,"15-03-2019",2.0,Yes
E1055,Lina,Finance,,30000.0,,4.0,Y
E1056,Lina,IT,"35",75000.0,"2021-01-15",2.0,No
E1057,Chris,IT,"25",30000.0,"2021-01-15",4.0,Y
E1058,Anna,,"35",,"2020/05/20",1.0,Yes
E1059,Sara,IT,"30",,"2020/05/20",3.0,N
E1060,John,Sales,,,,4.0,Y
E1061,Chris,Sales,"25",60000.0,"2021-01-15",4.0,N
E1062,Lina,Sales,"40",30000.0,"2021-01-15",,
E1063,Mike,,"30",75000.0,"2020/05/20",5.0,Y
E1064,Mike,Finance,"25",,,3.0,N
E1065,Anna,Marketing,"40",,"15-03-2019",2.0,Yes
E1066,Sara,Sales,"35",45000.0,"15-03-2019",1.0,No
E1067,Mike,,"35",75000.0,,4.0,Yes
E1068,Lina,,Unknown,45000.0,"2020/05/20",2.0,No
E1069,Mike,Finance,Unknown,,"2021-01-15",3.0,N
E1070,John,IT,"25",30000.0,"15-03-2019",,Yes
E1071,Chris,,Unknown,,,2.0,No
E1072,Lina,Finance,Unknown,,,3.0,
E1073,Mike,IT,"35",45000.0,"2020/05/20",3.0,N
E1074,Sara,Finance,"25",30000.0,"2020/05/20",1.0,Yes
E1075,David,Finance,,,,3.0,Yes
E1076,David,HR,"30",,"2020/05/20",,N
E1077,John,,Unknown,30000.0,,2.0,Yes
E1078,John,Sales,,75000.0,"2021-01-15",5.0,No
E1079,Anna,Sales,Unknown,45000.0,,2.0,Y
E1080,John,IT,"40",60000.0,"15-03-2019",5.0,N
E1081,Lina,Marketing,"25",60000.0,"2021-01-15",2.0,
E1082,Chris,IT,"30",,,2.0,Y
E1083,Mike,Finance,,,"15-03-2019",1.0,
E1084,Sara,Sales,"40",75000.0,"15-03-2019",,
E1085,David,IT,"25",30000.0,,,No
E1086,David,Sales,"35",,"2020/05/20",2.0,Yes
E1087,Mike,HR,"35",60000.0,"2021-01-15",1.0,No
E1088,Lina,Finance,"35",75000.0,"2020/05/20",1.0,No
E1089,Lina,Marketing,Unknown,,"2021-01-15",4.0,Yes
E1090,Sara,HR,"30",30000.0,"2021-01-15",3.0,
E1091,Anna,Marketing,,45000.0,"2021-01-15",3.0,No
E1092,Anna,Finance,"25",30000.0,,1.0,
E1093,Chris,,Unknown,30000.0,,4.0,N
E1094,John,IT,"30",60000.0,"2020/05/20",4.0,N
E1095,David,,"25",60000.0,"2021-01-15",5.0,N
E1096,John,HR,,,"15-03-2019",4.0,Y
E1097,Sara,IT,"25",75000.0,"2020/05/20",1.0,Yes
E1098,Lina,Finance,"30",60000.0,"2020/05/20",4.0,Y
E1099,Lina,Finance,"30",30000.0,,2.0,Y
E1100,Mike,HR,"30",,"15-03-2019",3.0,Yes
E1101,Sara,Marketing,,75000.0,"2021-01-15",,N
E1102,John,HR,"25",,"2021-01-15",,No
E1103,David,Finance,Unknown,75000.0,,2.0,
E1104,John,Sales,"35",,"15-03-2019",1.0,No
E1105,Sara,Finance,"35",30000.0,"2021-01-15",4.0,N
E1106,Mike,Marketing,Unknown,,,5.0,N
E1107,Lina,Sales,"25",,"15-03-2019",,
E1108,David,Finance,,30000.0,,4.0,No
E1109,Mike,Marketing,,,"2021-01-15",5.0,
E1110,David,Marketing,"40",60000.0,"2020/05/20",5.0,N
E1111,John,Sales,"40",75000.0,"15-03-2019",3.0,N
E1112,John,Finance,,,"2021-01-15",5.0,
E1113,David,,"30",,,5.0,Yes
E1114,Mike,IT,"35",45000.0,,,No
E1115,Chris,Finance,"40",45000.0,"2020/05/20",,No
E1116,Chris,HR,"35",,,5.0,Y
E1117,Sara,Marketing,"30",45000.0,,5.0,No
E1118,Anna,Finance,"30",60000.0,"15-03-2019",5.0,Y
E1119,Sara,Finance,"35",,,1.0,Y
E1120,David,Marketing,"30",,"2021-01-15",2.0,Yes
E1121,Chris,Sales,"35",60000.0,"2020/05/20",1.0,Y
E1122,John,IT,"35",45000.0,"2020/05/20",2.0,No
E1123,Mike,Finance,Unknown,,"2021-01-15",4.0,No
E1124,Sara,HR,"30",75000.0,"2021-01-15",4.0,N
E1125,Mike,Marketing,"30",30000.0,"2020/05/20",5.0,N
E1126,John,IT,"40",,,2.0,Y
E1127,John,,"25",30000.0,,1.0,Y
E1128,Chris,Finance,"30",,,2.0,Yes
E1129,Mike,,,,"2021-01-15",4.0,Yes
E1130,John,,,,"15-03-2019",4.0,Y
E1131,David,Finance,"35",30000.0,"15-03-2019",5.0,
E1132,Anna,Finance,,60000.0,"2021-01-15",1.0,Y
E1133,Mike,HR,"30",30000.0,,1.0,No
E1134,Chris,Marketing,"30",,,3.0,Yes
E1135,Mike,Finance,"30",45000.0,"2021-01-15",4.0,
E1136,Anna,,"35",,"2020/05/20",3.0,Yes
E1137,Lina,IT,,,"2020/05/20",4.0,Yes
E1138,Lina,Sales,"30",60000.0,"15-03-2019",5.0,N
E1139,Chris,Sales,,45000.0,"15-03-2019",3.0,Yes
E1140,Lina,Sales,,,"2021-01-15",2.0,No
E1141,Mike,IT,"25",30000.0,"15-03-2019",4.0,
E1142,Anna,Sales,"25",,,3.0,Yes
E1143,John,,"30",30000.0,,4.0,
E1144,John,Sales,"40",,"2021-01-15",2.0,
E1145,Anna,IT,"25",60000.0,"2020/05/20",5.0,No
E1146,Sara,HR,,,"15-03-2019",2.0,No
E1147,Sara,,"25",,"2020/05/20",4.0,Yes
E1148,John,Sales,"25",,"2021-01-15",,N
E1149,John,,"40",60000.0,"2021-01-15",,No
E1150,Lina,Marketing,"40",60000.0,"15-03-2019",,Yes
E1151,David,IT,"25",75000.0,"2021-01-15",1.0,Y
E1152,Anna,,"25",45000.0,"15-03-2019",4.0,
E1153,Chris,Sales,,,"15-03-2019",5.0,Y
E1154,David,Marketing,"40",75000.0,"15-03-2019",,
E1155,Sara,,,75000.0,"15-03-2019",1.0,N
E1156,Chris,HR,"25",30000.0,"2020/05/20",1.0,Y
E1157,Chris,Finance,"35",45000.0,"2020/05/20",3.0,Y
E1158,Anna,HR,,30000.0,"2021-01-15",2.0,Y
E1159,David,Finance,Unknown,45000.0,,5.0,Y
E1160,David,Sales,"25",,,5.0,
E1161,David,,Unknown,,,1.0,Yes
E1162,David,,"40",75000.0,,3.0,No
E1163,Anna,Finance,,30000.0,"15-03-2019",2.0,
E1164,David,,"40",75000.0,"2020/05/20",1.0,No
E1165,Chris,HR,,75000.0,"2020/05/20",,N
E1166,Mike,Marketing,,,,1.0,N
E1167,Chris,IT,"25",,"15-03-2019",,No
E1168,Mike,Sales,"40",30000.0,,,No
E1169,Sara,Marketing,,75000.0,,4.0,Yes
E1170,David,Sales,"30",60000.0,"2020/05/20",1.0,Yes
E1171,Lina,Sales,Unknown,,,2.0,No
E1172,Chris,Marketing,"30",75000.0,"2021-01-15",1.0,N
E1173,David,Sales,"25",60000.0,,,
E1174,Mike,IT,"30",75000.0,"2020/05/20",5.0,Yes
E1175,Sara,HR,"35",60000.0,"2020/05/20",,Yes
E1176,Lina,Finance,"35",45000.0,"2020/05/20",4.0,N
E1177,Lina,Marketing,,30000.0,,2.0,Yes
E1178,David,HR,"30",30000.0,"2020/05/20",2.0,No
E1179,Lina,,"40",30000.0,"15-03-2019",4.0,No
E1180,Mike,Marketing,Unknown,,"2020/05/20",1.0,Y
E1181,John,IT,Unknown,75000.0,,1.0,Yes
E1182,Sara,Finance,"25",75000.0,"15-03-2019",5.0,N
E1183,Anna,Sales,Unknown,45000.0,,4.0,Y
E1184,Lina,,"30",60000.0,,5.0,
E1185,Mike,HR,,,"2020/05/20",5.0,Y
E1186,Mike,Sales,"35",,,5.0,No
E1187,Sara,Sales,Unknown,,"2021-01-15",5.0,
E1188,Sara,HR,"30",,"15-03-2019",4.0,No
E1189,Mike,IT,Unknown,,"2020/05/20",3.0,
E1190,Sara,Marketing,"35",,"2020/05/20",3.0,Y
E1191,Sara,HR,"35",,"2021-01-15",1.0,Yes
E1192,Mike,Sales,Unknown,60000.0,"2020/05/20",5.0,N
E1193,Sara,Marketing,"35",,"2020/05/20",2.0,Yes
E1194,Lina,Finance,"40",30000.0,"15-03-2019",3.0,
E1195,Anna,Finance,"35",30000.0,"2020/05/20",1.0,
E1196,Chris,Finance,,,"2020/05/20",1.0,N
E1197,Lina,HR,"40",60000.0,"2021-01-15",3.0,Y
E1198,Chris,Sales,Unknown,,"15-03-2019",,No
E1199,Sara,HR,"30",60000.0,,2.0,No
