"Employee_ID","Name","Department","Age","Salary","Performance_Score","Remote_Work","join_date"
E1057,Chris,IT,"25",30000.0,4.0,Yes,"2021-01-15"
E1058,Anna,Unknown,"35",,1.0,Yes,"2020-05-20"
E1059,Sara,IT,"30",,3.0,No,"2020-05-20"
E1060,John,Sales,Unknown,,4.0,Yes,
E1061,Chris,Sales,"25",60000.0,4.0,No,"2021-01-15"
E1062,Lina,Sales,"40",30000.0,,,"2021-01-15"
E1063,Mike,Unknown,"30",75000.0,5.0,Yes,"2020-05-20"
E1064,Mike,Finance,"25",,3.0,No,
E1065,Anna,Marketing,"40",,2.0,Yes,"2019-03-15"
E1066,Sara,Sales,"35",45000.0,1.0,No,"2019-03-15"
E1067,Mike,Unknown,"35",75000.0,4.0,Yes,
E1068,Lina,Unknown,Unknown,45000.0,2.0,No,"2020-05-20"
E1069,Mike,Finance,Unknown,,3.0,No,"2021-01-15"
E1070,John,IT,"25",30000.0,,Yes,"2019-03-15"
E1071,Chris,Unknown,Unknown,,2.0,No,
E1072,Lina,Finance,Unknown,,3.0,,
E1073,Mike,IT,"35",45000.0,3.0,No,"2020-05-20"
E1074,Sara,Finance,"25",30000.0,1.0,Yes,"2020-05-20"
E1075,David,Finance,Unknown,,3.0,Yes,
E1076,David,HR,"30",,,No,"2020-05-20"
E1077,John,Unknown,Unknown,30000.0,2.0,Yes,
E1078,John,Sales,Unknown,75000.0,5.0,No,"2021-01-15"
E1079,Anna,Sales,Unknown,45000.0,2.0,Yes,
E1080,John,IT,"40",60000.0,5.0,No,"2019-03-15"
E1081,Lina,Marketing,"25",60000.0,2.0,,"2021-01-15"
E1082,Chris,IT,"30",,2.0,Yes,
E1083,Mike,Finance,Unknown,,1.0,,"2019-03-15"
E1084,Sara,Sales,"40",75000.0,,,"2019-03-15"
E1085,David,IT,"25",30000.0,,No,
E1086,David,Sales,"35",,2.0,Yes,"2020-05-20"
E1087,Mike,HR,"35",60000.0,1.0,No,"2021-01-15"
E1088,Lina,Finance,"35",75000.0,1.0,No,"2020-05-20"
E1089,Lina,Marketing,Unknown,,4.0,Yes,"2021-01-15"
E1090,Sara,HR,"30",30000.0,3.0,,"2021-01-15"
E1091,Anna,Marketing,Unknown,45000.0,3.0,No,"2021-01-15"
E1092,Anna,Finance,"25",30000.0,1.0,,
E1093,Chris,Unknown,Unknown,30000.0,4.0,No,
E1094,John,IT,"30",60000.0,4.0,No,"2020-05-20"
E1095,David,Unknown,"25",60000.0,5.0,No,"2021-01-15"
E1096,John,HR,Unknown,,4.0,Yes,"2019-03-15"
E1097,Sara,IT,"25",75000.0,1.0,Yes,"2020-05-20"
E1098,Lina,Finance,"30",60000.0,4.0,Yes,"2020-05-20"
E1099,Lina,Finance,"30",30000.0,2.0,Yes,
E1100,Mike,HR,"30",,3.0,Yes,"2019-03-15"
E1101,Sara,Marketing,Unknown,75000.0,,No,"2021-01-15"
E1102,John,HR,"25",,,No,"2021-01-15"
E1103,David,Finance,Unknown,75000.0,2.0,,
E1104,John,Sales,"35",,1.0,No,"2019-03-15"
E1105,Sara,Finance,"35",30000.0,4.0,No,"2021-01-15"
E1106,Mike,Marketing,Unknown,,5.0,No,
E1107,Lina,Sales,"25",,,,"2019-03-15"
E1108,David,Finance,Unknown,30000.0,4.0,No,
E1109,Mike,Marketing,Unknown,,5.0,,"2021-01-15"
E1110,David,Marketing,"40",60000.0,5.0,No,"2020-05-20"
E1111,John,Sales,"40",75000.0,3.0,No,"2019-03-15"
E1112,John,Finance,Unknown,,5.0,,"2021-01-15"
E1113,David,Unknown,"30",,5.0,Yes,
E1114,Mike,IT,"35",45000.0,,No,
E1115,Chris,Finance,"40",45000.0,,No,"2020-05-20"
E1116,Chris,HR,"35",,5.0,Yes,
E1117,Sara,Marketing,"30",45000.0,5.0,No,
E1118,Anna,Finance,"30",60000.0,5.0,Yes,"2019-03-15"
E1119,Sara,Finance,"35",,1.0,Yes,
E1120,David,Marketing,"30",,2.0,Yes,"2021-01-15"
E1121,Chris,Sales,"35",60000.0,1.0,Yes,"2020-05-20"
E1122,John,IT,"35",45000.0,2.0,No,"2020-05-20"
E1123,Mike,Finance,Unknown,,4.0,No,"2021-01-15"
E1124,Sara,HR,"30",75000.0,4.0,No,"2021-01-15"
E1125,Mike,Marketing,"30",30000.0,5.0,No,"2020-05-20"
E1126,John,IT,"40",,2.0,Yes,
E1127,John,Unknown,"25",30000.0,1.0,Yes,
E1128,Chris,Finance,"30",,2.0,Yes,
E1129,Mike,Unknown,Unknown,,4.0,Yes,"2021-01-15"
E1130,John,Unknown,Unknown,,4.0,Yes,"2019-03-15"
E1131,David,Finance,"35",30000.0,5.0,,"2019-03-15"
E1132,Anna,Finance,Unknown,60000.0,1.0,Yes,"2021-01-15"
E1133,Mike,HR,"30",30000.0,1.0,No,
E1134,Chris,Marketing,"30",,3.0,Yes,
E1135,Mike,Finance,"30",45000.0,4.0,,"2021-01-15"
E1136,Anna,Unknown,"35",,3.0,Yes,"2020-05-20"
E1137,Lina,IT,Unknown,,4.0,Yes,"2020-05-20"
E1138,Lina,Sales,"30",60000.0,5.0,No,"2019-03-15"
E1139,Chris,Sales,Unknown,45000.0,3.0,Yes,"2019-03-15"
E1140,Lina,Sales,Unknown,,2.0,No,"2021-01-15"
E1141,Mike,IT,"25",30000.0,4.0,,"2019-03-15"
E1142,Anna,Sales,"25",,3.0,Yes,
E1143,John,Unknown,"30",30000.0,4.0,,
E1144,John,Sales,"40",,2.0,,"2021-01-15"
E1145,Anna,IT,"25",60000.0,5.0,No,"2020-05-20"
E1146,Sara,HR,Unknown,,2.0,No,"2019-03-15"
E1147,Sara,Unknown,"25",,4.0,Yes,"2020-05-20"
E1148,John,Sales,"25",,,No,"2021-01-15"
E1149,John,Unknown,"40",60000.0,,No,"2021-01-15"
E1150,Lina,Marketing,"40",60000.0,,Yes,"2019-03-15"
E1151,David,IT,"25",75000.0,1.0,Yes,"2021-01-15"
E1152,Anna,Unknown,"25",45000.0,4.0,,"2019-03-15"
E1153,Chris,Sales,Unknown,,5.0,Yes,"2019-03-15"
E1154,David,Marketing,"40",75000.0,,,"2019-03-15"
E1155,Sara,Unknown,Unknown,75000.0,1.0,No,"2019-03-15"
E1156,Chris,HR,"25",30000.0,1.0,Yes,"2020-05-20"
E1157,Chris,Finance,"35",45000.0,3.0,Yes,"2020-05-20"
E1158,Anna,HR,Unknown,30000.0,2.0,Yes,"2021-01-15"
E1159,David,Finance,Unknown,45000.0,5.0,Yes,
E1160,David,Sales,"25",,5.0,,
E1161,David,Unknown,Unknown,,1.0,Yes,
E1162,David,Unknown,"40",75000.0,3.0,No,
E1163,Anna,Finance,Unknown,30000.0,2.0,,"2019-03-15"
E1164,David,Unknown,"40",75000.0,1.0,No,"2020-05-20"
E1165,Chris,HR,Unknown,75000.0,,No,"2020-05-20"
E1166,Mike,Marketing,Unknown,,1.0,No,
E1167,Chris,IT,"25",,,No,"2019-03-15"
E1168,Mike,Sales,"40",30000.0,,No,
E1169,Sara,Marketing,Unknown,75000.0,4.0,Yes,
E1170,David,Sales,"30",60000.0,1.0,Yes,"2020-05-20"
E1171,Lina,Sales,Unknown,,2.0,No,
E1172,Chris,Marketing,"30",75000.0,1.0,No,"2021-01-15"
E1173,David,Sales,"25",60000.0,,,
E1174,Mike,IT,"30",75000.0,5.0,Yes,"2020-05-20"
E1175,Sara,HR,"35",60000.0,,Yes,"2020-05-20"
E1176,Lina,Finance,"35",45000.0,4.0,No,"2020-05-20"
E1177,Lina,Marketing,Unknown,30000.0,2.0,Yes,
E1178,David,HR,"30",30000.0,2.0,No,"2020-05-20"
E1179,Lina,Unknown,"40",30000.0,4.0,No,"2019-03-15"
E1180,Mike,Marketing,Unknown,,1.0,Yes,"2020-05-20"
E1181,John,IT,Unknown,75000.0,1.0,Yes,
E1182,Sara,Finance,"25",75000.0,5.0,No,"2019-03-15"
E1183,Anna,Sales,Unknown,45000.0,4.0,Yes,
E1184,Lina,Unknown,"30",60000.0,5.0,,
E1185,Mike,HR,Unknown,,5.0,Yes,"2020-05-20"
E1186,Mike,Sales,"35",,5.0,No,
E1187,Sara,Sales,Unknown,,5.0,,"2021-01-15"
E1188,Sara,HR,"30",,4.0,No,"2019-03-15"
E1189,Mike,IT,Unknown,,3.0,,"2020-05-20"
E1190,Sara,Marketing,"35",,3.0,Yes,"2020-05-20"
E1191,Sara,HR,"35",,1.0,Yes,"2021-01-15"
E1192,Mike,Sales,Unknown,60000.0,5.0,No,"2020-05-20"
E1193,Sara,Marketing,"35",,2.0,Yes,"2020-05-20"
E1194,Lina,Finance,"40",30000.0,3.0,,"2019-03-15"
E1195,Anna,Finance,"35",30000.0,1.0,,"2020-05-20"
E1196,Chris,Finance,Unknown,,1.0,No,"2020-05-20"
E1197,Lina,HR,"40",60000.0,3.0,Yes,"2021-01-15"
E1198,Chris,Sales,Unknown,,,No,"2019-03-15"
E1199,Sara,HR,"30",60000.0,2.0,No,
